id;Kanji;Grade;"Reading within Joyo";"# of On";"# of Meanings of On"
1280;孫;4;ソン、まご;1;1
1549;特;4;トク;1;1
16;衣;4;イ、ころも;1;1
18;囲;4;イ、かこ-む、かこ-う;1;1
797;試;4;シ、こころ-みる、ため-す;1;1
813;児;4;ジ、[ニ];2;1
307;希;4;キ;1;1
312;季;4;キ;1;1
2126;録;4;ロク;1;1
856;借;4;シャク、か-りる;1;1
100;塩;4;エン、しお;1;1
629;康;4;コウ;1;1
120;億;4;オク;1;1
401;協;4;キョウ;1;1
1437;低;4;テイ、ひく-い、ひく-める、ひく-まる;1;1
1451;停;4;テイ;1;1
1199;然;4;ゼン、ネン;2;1
1712;必;4;ヒツ、かなら-ず;1;1
708;最;4;サイ、もっと-も;1;1
971;松;4;ショウ、まつ;1;1
1227;倉;4;ソウ、くら;1;1
210;各;4;カク、おのおの;1;1
980;笑;4;ショウ、わら-う、え-む;1;1
990;焼;4;ショウ、や-く、や-ける;1;1
735;刷;4;サツ、す-る;1;1
999;照;4;ショウ、て-る、て-らす、て-れる;1;1
2044;陸;4;リク;1;1
519;建;4;ケン、[コン]、た-てる、た-つ;2;2
2062;良;4;リョウ、よ-い;1;2
1044;臣;4;シン、ジン;2;2
1301;帯;4;タイ、お-びる、おび;1;2
279;関;4;カン、せき、かか-わる;1;2
2089;冷;4;レイ、つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、さ-める、さ-ます;1;2
1865;望;4;ボウ、モウ、のぞ-む;2;2
1619;敗;4;ハイ、やぶ-れる;1;2
600;好;4;コウ、この-む、す-く;1;2
1624;梅;4;バイ、うめ;1;2
1377;仲;4;チュウ、なか;1;2
1123;清;4;セイ、[ショウ]、きよ-い、きよ-まる、きよ-める;2;2
622;候;4;コウ、そうろう;1;2
1904;末;4;マツ、バツ、すえ;2;2
625;航;4;コウ;1;2
134;加;4;カ、くわ-える、くわ-わる;2;2
141;果;4;カ、は-たす、は-てる、は-て;1;2
919;祝;4;シュク、[シュウ]、いわ-う;2;2
1693;飛;4;ヒ、と-ぶ、と-ばす;1;2
417;競;4;キョウ、ケイ、きそ-う、せ-る;2;2
1699;費;4;ヒ、つい-やす、つい-える;1;2
1192;選;4;セン、えら-ぶ;1;2
944;初;4;ショ、はじ-め、はじ-めて、はつ、うい、そ-める;1;2
1737;夫;4;フ、[フウ]、おっと;2;2
467;郡;4;グン;1;2
734;札;4;サツ、ふだ;1;2
486;景;4;ケイ;1;2
1778;粉;4;フン、こ、こな;1;2
756;残;4;ザン、のこ-る、のこ-す;1;2
506;欠;4;ケツ、か-ける、か-く;1;2
1275;続;4;ゾク、つづ-く、つづ-ける;1;2
252;完;4;カン;1;2
766;司;4;シ;1;2
4;愛;4;アイ;1;3
1550;得;4;トク、え-る、う-る;1;3
527;健;4;ケン、すこ-やか;1;3
17;位;4;イ、くらい;1;3
543;験;4;ケン、[ゲン];2;3
300;願;4;ガン、ねが-う;1;3
47;印;4;イン、しるし;1;3
2100;歴;4;レキ;1;3
2115;老;4;ロウ、お-いる、ふ-ける;1;3
2116;労;4;ロウ;1;3
325;喜;4;キ、よろこ-ぶ;1;3
1878;牧;4;ボク、まき;1;3
1120;省;4;セイ、ショウ、かえり-みる、はぶ-く;2;3
1133;静;4;セイ、[ジョウ]、しず、しず-か、しず-まる、しず-める;2;3
1910;未;4;ミ;1;3
378;給;4;キュウ;1;3
1918;民;4;ミン、たみ;1;3
1922;無;4;ム、ブ、な-い;2;3
1672;飯;4;ハン、めし;1;3
151;貨;4;カ;1;3
168;芽;4;ガ、め;1;3
1973;勇;4;ユウ、いさ-む;1;3
185;械;4;カイ;1;3
1473;典;4;テン;1;3
707;菜;4;サイ、な;1;3
202;街;4;ガイ、[カイ]、まち;2;3
466;軍;4;グン;1;3
725;昨;4;サク;1;3
473;径;4;ケイ;1;3
1500;灯;4;トウ、ひ;1;3
2015;浴;4;ヨク、あ-びる、あ-びせる;1;3
1005;賞;4;ショウ;1;3
1262;束;4;ソク、たば;1;3
763;氏;4;シ、うじ;1;3
1276;卒;4;ソツ;1;3
254;官;4;カン;1;3
278;管;4;カン、くだ;1;4
