id;Kanji;Grade;"Reading within Joyo";"# of On";"# of Meanings of On"
1643;箱;3;はこ;0;0
1645;畑;3;はた、はたけ;0;0
743;皿;3;さら;0;0
771;死;3;シ、し-ぬ;1;1
1541;童;3;ドウ、わらべ;1;1
1287;打;3;ダ、う-つ;1;1
1032;植;3;ショク、う-える、う-わる;1;1
779;始;3;シ、はじ-める、はじ-まる;1;1
14;暗;3;アン、くら-い;1;1
1297;待;3;タイ、ま-つ;1;1
1809;返;3;ヘン、かえ-す、かえ-る;1;1
786;指;3;シ、ゆび、さ-す;1;1
1058;深;3;シン、ふか-い、ふか-まる、ふか-める;1;1
1060;進;3;シン、すす-む、すす-める;1;1
569;庫;3;コ、[ク];2;1
570;湖;3;コ、みずうみ;1;1
1605;波;3;ハ、なみ;1;1
107;央;3;オウ;1;1
877;受;3;ジュ、う-ける、う-かる;1;1
1135;整;3;セイ、ととの-える、ととの-う;1;1
117;横;3;オウ、よこ;1;1
890;拾;3;シュウ、ジュウ、ひろ-う;2;1
895;終;3;シュウ、お-わる、お-える;1;1
912;重;3;ジュウ、チョウ、え、おも-い、かさ-ねる、かさ-なる;2;1
148;荷;3;カ、に;1;1
414;橋;3;キョウ、はし;1;1
1960;薬;3;ヤク、くすり;1;1
1963;由;3;ユ、ユウ、[ユイ]、よし;3;1
1196;全;3;ゼン、まった-く、すべ-て;1;1
1708;鼻;3;ビ、はな;1;1
1964;油;3;ユ、あぶら;1;1
945;所;3;ショ、ところ;1;1
948;暑;3;ショ、あつ-い;1;1
1461;笛;3;テキ、ふえ;1;1
187;開;3;カイ、ひら-く、ひら-ける、あ-く、あ-ける;1;1
444;銀;3;ギン;1;1
1725;秒;3;ビョウ;1;1
1993;羊;3;ヨウ、ひつじ;1;1
1226;送;3;ソウ、おく-る;1;1
462;君;3;クン、きみ;1;1
1502;投;3;トウ、な-げる;1;1
1510;島;3;トウ、しま;1;1
1521;湯;3;トウ、ゆ;1;1
508;血;3;ケツ、ち;1;1
2050;流;3;リュウ、[ル]、なが-れる、なが-す;2;2
263;寒;3;カン、さむ-い;1;2
521;県;3;ケン;1;2
777;使;3;シ、つか-う;1;2
2057;旅;3;リョ、たび;1;2
21;委;3;イ、ゆだ-ねる;1;2
795;歯;3;シ、は;1;2
2075;緑;3;リョク、[ロク]、みどり;2;2
798;詩;3;シ;1;2
1315;第;3;ダイ;1;2
814;事;3;ジ、[ズ]、こと;2;2
55;飲;3;イン、の-む;1;2
1337;炭;3;タン、すみ;1;2
1602;農;3;ノウ;1;2
1353;談;3;ダン;1;2
845;者;3;シャ、もの;1;2
610;幸;3;コウ、さいわ-い、さち、しあわ-せ;1;2
1649;発;3;ハツ、ホツ;2;2
1142;昔;3;セキ、[シャク]、むかし;2;2
119;屋;3;オク、や;1;2
375;宮;3;キュウ、グウ、[ク]、みや;3;2
635;港;3;コウ、みなと;1;2
129;温;3;オン、あたた-か、あたた-かい、あたた-まる、あたた-める;1;2
901;集;3;シュウ、あつ-まる、あつ-める、つど-う;1;2
910;住;3;ジュウ、す-む、す-まう;1;2
954;助;3;ジョ、たす-ける、たす-かる、すけ;1;2
973;昭;3;ショウ;1;2
1489;都;3;ト、ツ、みやこ;2;2
475;係;3;ケイ、かか-る、かかり;1;2
987;勝;3;ショウ、か-つ、まさ-る;1;2
1266;息;3;ソク、いき;1;2
764;仕;3;シ、[ジ]、つか-える;2;2
509;決;3;ケツ、き-める、き-まる;1;2
1789;平;3;ヘイ、ビョウ、たい-ら、ひら;2;2
1539;動;3;ドウ、うご-く、うご-かす;1;3
19;医;3;イ;1;3
276;漢;3;カン;1;3
285;館;3;カン、やかた;1;3
51;員;3;イン;1;3
2113;路;3;ロ、じ;1;3
841;写;3;シャ、うつ-す、うつ-る;1;3
82;駅;3;エキ;1;3
1374;着;3;チャク、[ジャク]、き-る、き-せる、つ-く、つ-ける;2;3
1383;注;3;チュウ、そそ-ぐ;1;3
872;酒;3;シュ、さけ、[さか];1;3
370;究;3;キュウ、きわ-める;1;3
885;州;3;シュウ、す;1;3
1663;坂;3;ハン、さか;1;3
1449;庭;3;テイ、にわ;1;3
1705;美;3;ビ、うつく-しい;1;3
1972;有;3;ユウ、ウ、あ-る;2;3
1717;氷;3;ヒョウ、こおり、ひ;1;3
445;区;3;ク;1;3
1726;病;3;ビョウ、[ヘイ]、や-む、やまい;2;3
